product_id,name,brand_name,category_id,category_lv1,category_lv2,category_lv3,product_url,cbf_score,absa_score,hybrid_score
275220816,Tã/bỉm quần Huggies Skin Care Mega Jumbo XL84+4 miếng với tràm trà dịu da,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p275220816.html?spid=275220817,0.6513169403408586,0.8759827986434575,0.6986623138484167
276109346,Tã quần Huggies Skin Care Mega Jumbo L100+4 miếng với tràm trà dịu da,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p276109346.html?spid=276483852,0.49111778556145536,0.8753397108835568,0.5720875007714392
276568601,Tã/bỉm quần Huggies Skin Care Mega Jumbo M102+4 miếng với tràm trà dịu da,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p276568601.html?spid=276568602,0.46325825369790613,0.8540061029864201,0.5456032215163907
251925793,"(22+6 Miếng/Gói) - Tã quần Huggies XXXL22 Tràm trà tự nhiên, ngừa hăm - Cho bé trên 17kg - Tã bỉm quần Huggies trẻ em",Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p251925793.html?spid=251925794,0.38447302973522457,1.0,0.5141872396794435
275220807,Tã/bỉm quần Huggies Skin Care Mega Jumbo M106 miếng với tràm trà dịu da,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p275220807.html?spid=276384057,0.4581743012626474,0.706120595332868,0.5104257202867086
276078587,Tã quần Huggies Naturemade ban đêm M 58 miếng,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p276078587.html?spid=276078589,0.3767478008156176,1.0,0.5080900011068947
276078585,Tã quần Huggies Naturemade ban đêm XL 38 miếng,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p276078585.html?spid=276078586,0.3762527237279001,1.0,0.5076992550012415
276078588,Tã quần Huggies Naturemade ban đêm L 44 miếng,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p276078588.html?spid=276078590,0.3726071700503189,1.0,0.504821953793399
275821664,Tã quần Huggies Skin Perfect Mega Jumbo M98+4 miếng với 2 vùng thấm giảm kích ứng da,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p275821664.html?spid=275821665,0.3603845303484575,1.0,0.4951750745844983
275220814,Tã/bỉm quần Huggies Skin Care Mega Jumbo L96+8 miếng với tràm trà dịu da,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p275220814.html?spid=275316755,0.4579373369033504,0.5180155708177676,0.470598034197736
252608888,Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size L 96+8 miếng,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p252608888.html?spid=275306815,0.42576244180779954,0.6307277243479382,0.46895617819152136
270653294,[TẶNG THÊM MIẾNG CHO SIZE L/XL/XXL] Combo 3 gói Tã quần Huggies Skincare Mega Jumbo M106/L96/XL84/XXL76,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p270653294.html?spid=275307011,0.3134407069657167,1.0,0.4581240442977835
275346644, Tã/bỉm quần Huggies Skin Care Mega Jumbo M106/L96+8/XL84+4/XXL76+4 miếng với tràm trà dịu da,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p275346644.html?spid=275346650,0.4424324593408688,0.5,0.4545640610671404
275346622,Combo 2 Tã/bỉm quần Huggies Skin Care Mega Jumbo M106/L96+8/ XL84+4/XXL76+4 với tràm trà dịu da,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p275346622.html?spid=275346630,0.4351244292391238,0.5,0.44879610215104737
249245720,[Bao bì và CTKM thay đổi theo từng lô hàng] Combo 2 gói Tã quần Huggies Skincare Mega Jumbo M106/L96+8/XL84+4/XXL76+4 với tràm trà dịu da,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p249245720.html?spid=262394085,0.2931882605747183,1.0,0.44213953450413024
274402446,Tã quần Huggies Skin Perfect L Super Jumbo 60+6 miếng với 2 vùng thấm giảm kích ứng da,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p274402446.html?spid=274402447,0.2808860822149975,1.0,0.43242987836295266
274402450,Tã quần Huggies Skin Perfect M Super Jumbo 70+6 miếng với 2 vùng thấm giảm kích ứng da,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p274402450.html?spid=274402451,0.2798611154047677,1.0,0.4316209098215734
274402452,Tã quần Huggies Skin Perfect XXL Super Jumbo 48+6 miếng với 2 vùng thấm giảm kích ứng da,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p274402452.html?spid=274402453,0.27875833908922343,1.0,0.43075052910431544
276344318,Tã/bỉm quần Huggies Naturemade M58/L44/XL38/XXL26,Huggies,2553,Mẹ & Bé,"Tã, Bỉm",Tã quần,https://tiki.vn/product-p276344318.html?spid=276344499,0.278485406487054,1.0,0.4305351134568347
